 step number           1
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           2
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           3
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           4
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           5
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           6
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           7
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           8
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number           9
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          10
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          11
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          12
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          13
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          14
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          15
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          16
  0.00000053 -0.00000210 -0.00000157
  0.00000053 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          17
  0.00000054 -0.00000210 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          18
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          19
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          20
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          21
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          22
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          23
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          24
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          25
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000105 -0.00000052
  0.00000000 -0.00000105 -0.00000105
 step number          26
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          27
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          28
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          29
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          30
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          31
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          32
  0.00000054 -0.00000211 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          33
  0.00000054 -0.00000212 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          34
  0.00000054 -0.00000212 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          35
  0.00000054 -0.00000212 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          36
  0.00000054 -0.00000212 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          37
  0.00000054 -0.00000212 -0.00000157
  0.00000054 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          38
  0.00000055 -0.00000212 -0.00000158
  0.00000055 -0.00000106 -0.00000052
  0.00000000 -0.00000106 -0.00000106
 step number          39
  0.00000055 -0.00000212 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          40
  0.00000055 -0.00000212 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          41
  0.00000055 -0.00000212 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          42
  0.00000055 -0.00000212 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          43
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          44
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          45
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          46
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000106 -0.00000051
  0.00000000 -0.00000106 -0.00000106
 step number          47
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          48
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          49
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          50
  0.00000055 -0.00000213 -0.00000158
  0.00000055 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          51
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          52
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          53
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          54
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          55
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          56
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          57
  0.00000056 -0.00000214 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          58
  0.00000056 -0.00000215 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          59
  0.00000056 -0.00000215 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          60
  0.00000056 -0.00000215 -0.00000158
  0.00000056 -0.00000107 -0.00000051
  0.00000000 -0.00000107 -0.00000107
 step number          61
  0.00000057 -0.00000215 -0.00000159
  0.00000057 -0.00000108 -0.00000051
  0.00000000 -0.00000108 -0.00000108
 step number          62
  0.00000057 -0.00000215 -0.00000159
