 step number           1
        0.0000003143       -0.0000006194       -0.0000003051
        0.0000003143        0.0000000000        0.0000003143
        0.0000000000       -0.0000006194       -0.0000006194
 step number           2
        0.0000003143       -0.0000006194       -0.0000003051
        0.0000003143        0.0000000000        0.0000003143
        0.0000000000       -0.0000006194       -0.0000006194
 step number           3
        0.0000003144       -0.0000006195       -0.0000003051
        0.0000003144        0.0000000000        0.0000003144
        0.0000000000       -0.0000006195       -0.0000006195
 step number           4
        0.0000003145       -0.0000006196       -0.0000003051
        0.0000003145        0.0000000000        0.0000003145
        0.0000000000       -0.0000006196       -0.0000006196
 step number           5
        0.0000003146       -0.0000006197       -0.0000003051
        0.0000003146        0.0000000000        0.0000003146
        0.0000000000       -0.0000006197       -0.0000006197
 step number           6
        0.0000003148       -0.0000006199       -0.0000003050
        0.0000003148        0.0000000000        0.0000003148
        0.0000000000       -0.0000006199       -0.0000006198
 step number           7
        0.0000003150       -0.0000006200       -0.0000003050
        0.0000003150        0.0000000000        0.0000003150
        0.0000000000       -0.0000006200       -0.0000006200
 step number           8
        0.0000003153       -0.0000006202       -0.0000003049
        0.0000003153        0.0000000000        0.0000003153
        0.0000000000       -0.0000006202       -0.0000006202
 step number           9
        0.0000003155       -0.0000006204       -0.0000003049
        0.0000003155        0.0000000000        0.0000003155
        0.0000000000       -0.0000006204       -0.0000006204
 step number          10
        0.0000003159       -0.0000006207       -0.0000003048
        0.0000003159        0.0000000000        0.0000003159
        0.0000000000       -0.0000006207       -0.0000006207
 step number          11
        0.0000003162       -0.0000006210       -0.0000003048
        0.0000003162        0.0000000000        0.0000003162
        0.0000000000       -0.0000006210       -0.0000006210
 step number          12
        0.0000003166       -0.0000006213       -0.0000003047
        0.0000003166        0.0000000000        0.0000003166
        0.0000000000       -0.0000006213       -0.0000006213
 step number          13
        0.0000003170       -0.0000006216       -0.0000003046
        0.0000003170        0.0000000000        0.0000003170
        0.0000000000       -0.0000006216       -0.0000006216
 step number          14
        0.0000003174       -0.0000006219       -0.0000003045
        0.0000003174        0.0000000000        0.0000003174
        0.0000000000       -0.0000006219       -0.0000006219
 step number          15
        0.0000003179       -0.0000006223       -0.0000003044
        0.0000003179        0.0000000000        0.0000003179
        0.0000000000       -0.0000006223       -0.0000006223
 step number          16
        0.0000003184       -0.0000006227       -0.0000003043
        0.0000003184        0.0000000000        0.0000003184
        0.0000000000       -0.0000006227       -0.0000006227
 step number          17
        0.0000003190       -0.0000006231       -0.0000003042
        0.0000003190        0.0000000000        0.0000003190
