       20.4840114687       -0.4945812625       19.9894302062
      138.8619549182       -0.4595275758      138.4024273424
      151.8210341833       -0.4182378343      151.4027963490
      153.7075380552       -0.3799945843      153.3275434709
      158.0250317408       -0.3494782454      157.6755534954
      318.4477716439       -0.3195059691      318.1282656748
      318.7680818053       -0.2950449460      318.4730368593
      321.9271060301       -0.2771535368      321.6499524933
      322.2619580667       -0.2623846522      321.9995734145
      325.1370836855       -0.2494505194      324.8876331661
      336.3683221040       -0.2372948490      336.1310272550
      336.7863518558       -0.2259403688      336.5604114870
      336.7741768032       -0.2167195009      336.5574573023
      336.9142857052       -0.2086118478      336.7056738574
      337.1685689615       -0.2011077996      336.9674611619
      340.5629205714       -0.1935524711      340.3693681002
      340.5540447555       -0.1868373768      340.3672073787
      361.3632611453       -0.1804429348      361.1828182106
      361.3696232486       -0.1750573231      361.1945659255
      361.4015827378       -0.1703734621      361.2312092756
      361.5431162657       -0.1659529958      361.3771632699
      361.6237206741       -0.1615860799      361.4621345942
      361.8877389345       -0.1573597463      361.7303791882
      361.8842287946       -0.1532316549      361.7309971397
      361.8807934738       -0.1495420858      361.7312513881
      361.8787447119       -0.1462017212      361.7325429908
      361.8790797704       -0.1431944348      361.7358853356
      361.8786016109       -0.1403100706      361.7382915403
      361.8840467706       -0.1376440536      361.7464027169
      363.4632859375       -0.1348681977      363.3284177398
      363.5030941327       -0.1320871221      363.3710070106
      363.4937706175       -0.1296037122      363.3641669053
      363.4901207852       -0.1272839705      363.3628368147
      363.5918334890       -0.1249488275      363.4668846615
      363.6357542581       -0.1226033474      363.5131509107
      363.6472343135       -0.1202172422      363.5270170713
      363.6477143319       -0.1179679890      363.5297463428
      365.3471676468       -0.1156385642      365.2315290825
      365.3532067150       -0.1130611363      365.2401455787
      365.3582935384       -0.1107897157      365.2475038227
      365.3604205059       -0.1087483781      365.2516721278
      365.3574831083       -0.1067790231      365.2507040853
      365.3547457681       -0.1049294808      365.2498162873
      365.3520885200       -0.1031790529      365.2489094671
      365.3496923863       -0.1015100599      365.2481823263
      365.3466403161       -0.0998809406      365.2467593755
      365.3455488570       -0.0982699730      365.2472788840
      365.3436184655       -0.0967304249      365.2468880406
      365.3414172040       -0.0953023983      365.2461148057
      365.3387241950       -0.0939422066      365.2447819884
      365.3394194537       -0.0926419361      365.2467775176
      365.6127857560       -0.0912402467      365.5215455093
      365.6117003666       -0.0898856359      365.5218147307
      365.6120969161       -0.0884533491      365.5236435670
      365.6134075039       -0.0870979555      365.5263095483
      365.6116230842       -0.0858783757      365.5257447085
      365.6100218362       -0.0846479960      365.5253738402
      365.6086647779       -0.0834649767      365.5251998011
      365.6070443128       -0.0823451855      365.5246991272
      365.6067774674       -0.0812484921      365.5255289752
      365.6052323327       -0.0801800626      365.5250522701
      365.6036295051       -0.0791609307      365.5244685744
      365.6021564451       -0.0781682539      365.5239881912
      365.6007056658       -0.0771841430      365.5235215228
      365.5992542800       -0.0762288387      365.5230254412
      365.5979294776       -0.0753326462      365.5225968314
      365.5966938839       -0.0745009440      365.5221929400
      365.6008077312       -0.0736268504      365.5271808808
      365.5995684611       -0.0727782025      365.5267902586
      365.5982866865       -0.0719367043      365.5263499822
      365.5969454670       -0.0711040034      365.5258414636
      365.5957659528       -0.0703007530      365.5254651998
      365.5946397218       -0.0695013815      365.5251383403
      365.5934824952       -0.0687285145      365.5247539807
      365.5923783993       -0.0679856297      365.5243927696
      365.5913006727       -0.0672602152      365.5240404575
      365.5902331691       -0.0665602009      365.5236729682
      365.5899606102       -0.0658639727      365.5240966375
      365.5890968345       -0.0651980731      365.5238987613
      365.5881202012       -0.0645644117      365.5235557896
      365.5871317719       -0.0639485728      365.5231831991
      365.5871062367       -0.0634268473      365.5236793894
      380.1085585961       -0.0626080370      380.0459505591
      380.0960285467       -0.0617747035      380.0342538432
      380.0951450333       -0.0611332349      380.0340117984
      380.0943438986       -0.0605766744      380.0337672242
      380.0934792580       -0.0600070526      380.0334722054
      380.1564166574       -0.0594171130      380.0969995443
      380.1559037760       -0.0588835766      380.0970201994
      380.1551181126       -0.0583539358      380.0967641768
      380.1545926149       -0.0578209395      380.0967716755
      380.1537362429       -0.0572823882      380.0964538548
      380.1529470498       -0.0567486402      380.0961984096
      380.1521861761       -0.0562346611      380.0959515150
      380.1513396641       -0.0557278552      380.0956118088
      380.1506114384       -0.0552378161      380.0953736223
      380.1498950491       -0.0547591957      380.0951358534
      380.1491959205       -0.0542934602      380.0949024604
      380.1485225539       -0.0538421438      380.0946804101
      380.1478664821       -0.0534024618      380.0944640203
      380.1472200649       -0.0529703923      380.0942496726
      380.1465779304       -0.0525426059      380.0940353246
      380.1459384183       -0.0521181143      380.0938203041
      380.1453085501       -0.0517003989      380.0936081512
      380.1446974508       -0.0512928088      380.0934046420
      380.1441020664       -0.0508950336      380.0932070328
      380.1435201458       -0.0505068384      380.0930133074
      380.1429560221       -0.0501315667      380.0928244553
      380.1423926900       -0.0497793358      380.0926133542
      380.1421770451       -0.0493849353      380.0927921098
      380.1414642747       -0.0490061077      380.0924581670
      380.1409232826       -0.0486423125      380.0922809702
      380.1403958185       -0.0482891358      380.0921066827
      380.1398813731       -0.0479449839      380.0919363892
      380.1393777139       -0.0476082693      380.0917694447
      380.1388830048       -0.0472785688      380.0916044360
      380.1384036293       -0.0469596711      380.0914439582
      380.1379507476       -0.0466549597      380.0912957878
      380.1374845566       -0.0463582434      380.0911263131
      380.1371492000       -0.0460881717      380.0910610283
      380.1486133676       -0.0456830416      380.1029303260
